Title,Year,Rank,Directors,Countries
The Kids Are All Right,2010,10,"Cholodenko, Lisa",USA
A Prophet,2009,1,"Audiard, Jacques",France / Italy
The White Ribbon,2009,2,"Haneke, Michael",Austria / France / Germany
Avatar,2009,3,"Cameron, James",USA
Precious,2009,4,"Daniels, Lee",USA
Up in the Air,2009,5,"Reitman, Jason",USA
Inglourious Basterds,2009,6,"Tarantino, Quentin",USA / Germany / France
The Secret in Their Eyes,2009,7,"Campanella, Juan José",Argentina / Spain
A Serious Man,2009,8,"Coen, Ethan / Coen, Joel",USA / UK / France
An Education,2009,9,"Scherfig, Lone",UK
District 9,2009,10,"Blomkamp, Neill",South Africa / New Zealand
The Hurt Locker,2008,1,"Bigelow, Kathryn",USA
Let the Right One In,2008,2,"Alfredson, Tomas",Sweden
Slumdog Millionaire,2008,3,"Boyle, Danny / Tandan, Loveleen",UK / USA
Waltz with Bashir,2008,4,"Folman, Ari",Israel / Germany / France
The Dark Knight,2008,5,"Nolan, Christopher",USA
Wall•E,2008,6,"Stanton, Andrew",USA
Milk,2008,7,"Van Sant, Gus",USA
Frost/Nixon,2008,8,"Howard, Ron",USA / UK / France
The Curious Case of Benjamin Button,2008,9,"Fincher, David",USA
Gomorrah,2008,10,"Garrone, Matteo",Italy
No Country for Old Men,2007,1,"Coen, Ethan / Coen, Joel",USA
There Will Be Blood,2007,2,"Anderson, Paul Thomas",USA
The Diving Bell and the Butterfly,2007,3,"Schnabel, Julian",France / USA
"4 Months, 3 Weeks and 2 Days",2007,4,"Mungiu, Cristian",Romania
Persepolis,2007,5,"Paronnaud, Vincent / Satrapi, Marjane",France
Atonement,2007,6,"Wright, Joe",UK
Juno,2007,7,"Reitman, Jason",USA
Into the Wild,2007,8,"Penn, Sean",USA
Michael Clayton,2007,9,"Gilroy, Tony",USA
Ratatouille,2007,10,"Bird, Brad",USA
Pan's Labyrinth,2006,1,"del Toro, Guillermo",Mexico / Spain / USA
The Lives of Others,2006,2,"von Donnersmarck, Florian Henckel",Germany
The Queen,2006,3,"Frears, Stephen",UK
The Departed,2006,4,"Scorsese, Martin",USA
Babel,2006,5,"Iñárritu, Alejandro González",USA
Little Miss Sunshine,2006,6,"Dayton, Jonathan / Faris, Valerie",USA
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,2006,7,"Charles, Larry",USA
Volver,2006,8,"Almodóvar, Pedro",Spain
United 93,2006,9,"Greengrass, Paul",France / UK / USA
The Host,2006,10,"Bong, Joon-ho",South Korea
Brokeback Mountain,2005,1,"Lee, Ang",USA
"Good Night, and Good Luck.",2005,2,"Clooney, George",USA
Caché,2005,3,"Haneke, Michael",France / Austria / Germany / Italy
A History of Violence,2005,4,"Cronenberg, David",USA
Capote,2005,5,"Miller, Bennett",USA
Tsotsi,2005,6,"Hood, Gavin",UK / South Africa
Munich,2005,7,"Spielberg, Steven",USA
The Three Burials of Melquiades Estrada,2005,8,"Jones, Tommy Lee",USA / France
Grizzly Man,2005,9,"Herzog, Werner",USA
Paradise Now,2005,10,"Abu-Assad, Hany",France / Germany / Netherlands / Israel
Sideways,2004,1,"Payne, Alexander",USA
Million Dollar Baby,2004,2,"Eastwood, Clint",USA
Downfall,2004,3,"Hirschbiegel, Oliver",Germany / Italy / Austria
The Aviator,2004,4,"Scorsese, Martin",USA / Japan / Germany
Crash,2004,5,"Haggis, Paul",USA / Germany
House of Flying Daggers,2004,6,"Zhang, Yimou",China / Hong Kong
Eternal Sunshine of the Spotless Mind,2004,7,"Gondry, Michel",USA
Finding Neverland,2004,8,"Forster, Marc",UK / USA
Vera Drake,2004,9,"Leigh, Mike",UK / France / New Zealand
Hotel Rwanda,2004,10,"George, Terry",UK / Italy / South Africa
The Lord of the Rings: Return of the King,2003,1,"Jackson, Peter",USA / New Zealand
Lost in Translation,2003,2,"Coppola, Sofia",USA / Japan
Oldboy,2003,3,"Park, Chan-wook",South Korea
The Barbarian Invasions,2003,4,"Arcand, Denys",Canada / France
Dogville,2003,5,"von Trier, Lars",Denmark / Sweden / France / Norway / Netherlands / Finland / Germany / USA / UK
Mystic River,2003,6,"Eastwood, Clint",USA
Master and Commander: The Far Side of the World,2003,7,"Weir, Peter",USA
Finding Nemo,2003,8,"Stanton, Andrew / Unkrich, Lee",USA
"Good Bye, Lenin!",2003,9,"Becker, Wolfgang",Germany
The Triplets of Belleville,2003,10,"Chomet, Sylvain",France / Belgium / Canada / UK
City of God,2002,1,"Meirelles, Fernando / Lund, Kátia",Brazil / France / USA
The Lord of the Rings: The Two Towers,2002,2,"Jackson, Peter",USA / New Zealand / Germany
The Pianist,2002,3,"Polanski, Roman",Poland / France / UK / Germany / Netherlands
Talk to Her,2002,4,"Almodóvar, Pedro",Spain
Far from Heaven,2002,5,"Haynes, Todd",France / USA
Adaptation.,2002,6,"Jonze, Spike",USA
Gangs of New York,2002,7,"Scorsese, Martin",USA / Germany / Italy / UK / Netherlands
The Hours,2002,8,"Daldry, Stephen",USA
Ten,2002,9,"Kiarostami, Abbas",France / Iran / USA
Chicago,2002,10,"Marshall, Rob",USA / Canada
Y tu mamá también,2001,1,"Cuarón, Alfonso",Mexico / USA
Mulholland Dr.,2001,2,"Lynch, David",France / USA
Spirited Away,2001,3,"Miyazaki, Hayao",Japan
Amélie,2001,4,"Jeunet, Jean-Pierre",France / Germany
The Lord of the Rings: Fellowship of the Ring,2001,5,"Jackson, Peter",New Zealand / USA
Moulin Rouge!,2001,6,"Luhrmann, Baz",Australia / USA
Lagaan,2001,7,"Gowariker, Ashutosh",India
Shrek,2001,8,"Adamson, Andrew / Jenson, Vicky",USA
Gosford Park,2001,9,"Altman, Robert",UK / USA / Germany / Italy
No Man's Land,2001,10,"Tanovic, Danis",Bosnia-Herzegovina / Slovenia / Italy / France / UK / Belgium
"Crouching Tiger, Hidden Dragon",2000,1,"Lee, Ang",Taiwan / Hong Kong / USA / China
In the Mood for Love,2000,2,"Wong, Kar Wai",Hong Kong / France / Thailand
Yi Yi,2000,3,"Yang, Edward",Taiwan / Japan
Gladiator,2000,4,"Scott, Ridley",UK / USA
Amores perros,2000,5,"Iñárritu, Alejandro González",Mexico
Memento,2000,6,"Nolan, Christopher",USA
Traffic,2000,7,"Soderbergh, Steven",Germany / USA
Billy Elliot,2000,8,"Daldry, Stephen",UK / France
Chicken Run,2000,9,"Lord, Peter / Park, Nick",UK
Almost Famous,2000,10,"Crowe, Cameron",USA
American Beauty,1999,1,"Mendes, Sam",USA
All About My Mother,1999,2,"Almodóvar, Pedro",Spain / France
Being John Malkovich,1999,3,"Jonze, Spike",USA
The Insider,1999,4,"Mann, Michael",USA
The Matrix,1999,5,"Wachowski, Andy / Wachowski, Larry",USA
The Sixth Sense,1999,6,"Shyamalan, M. Night",USA
Three Kings,1999,7,"Russell, David O.",USA
Magnolia,1999,8,"Anderson, Paul Thomas",USA
Topsy-Turvy,1999,9,"Leigh, Mike",UK
The Straight Story,1999,10,"Lynch, David",France / UK / USA
Saving Private Ryan,1998,1,"Spielberg, Steven",USA
The Celebration,1998,2,"Vinterberg, Thomas",Denmark / Sweden
Shakespeare in Love,1998,3,"Madden, John",USA / UK
Happiness,1998,4,"Solondz, Todd",USA
The Thin Red Line,1998,5,"Malick, Terrence",Canada / USA
Run Lola Run,1998,6,"Tykwer, Tom",Germany
Central Station,1998,7,"Salles, Walter",Brazil / France
Rushmore,1998,8,"Anderson, Wes",USA
The Truman Show,1998,9,"Weir, Peter",USA
The Idiots,1998,10,"von Trier, Lars",Denmark / Sweden / France / Netherlands / Italy
L.A. Confidential,1997,1,"Hanson, Curtis",USA
Titanic,1997,2,"Cameron, James",USA
Boogie Nights,1997,3,"Anderson, Paul Thomas",USA
The Sweet Hereafter,1997,4,"Egoyan, Atom",Canada
The Full Monty,1997,5,"Cattaneo, Peter",UK
Taste of Cherry,1997,6,"Kiarostami, Abbas",France / Iran
Life Is Beautiful,1997,7,"Benigni, Roberto",Italy
The Butcher Boy,1997,8,"Jordan, Neil",Ireland / USA
As Good as It Gets,1997,9,"Brooks, James L.",USA
Donnie Brasco,1997,10,"Newell, Mike",USA
Fargo,1996,1,"Coen, Joel / Coen, Ethan",USA / UK
Secrets & Lies,1996,2,"Leigh, Mike",France / UK
The English Patient,1996,3,"Minghella, Anthony",USA
Shine,1996,4,"Hicks, Scott",Australia
Breaking the Waves,1996,5,"von Trier, Lars",Denmark / Sweden / France / Netherlands / Norway
Trainspotting,1996,6,"Boyle, Danny",UK
Jerry Maguire,1996,7,"Crowe, Cameron",USA
Kolya,1996,8,"Sverák, Jan",Czech Republic
Lone Star,1996,9,"Sayles, John",USA
The People vs. Larry Flynt,1996,10,"Forman, Milos",Canada / USA
Toy Story,1995,1,"Lasseter, John",USA
The Usual Suspects,1995,2,"Singer, Bryan",USA / Germany
Sense and Sensibility,1995,3,"Lee, Ang",USA / UK
Babe,1995,4,"Noonan, Chris",Australia / USA
Braveheart,1995,5,"Gibson, Mel",USA
Casino,1995,6,"Scorsese, Martin",USA / France
Leaving Las Vegas,1995,6,"Figgis, Mike",France / USA / UK
Apollo 13,1995,7,"Howard, Ron",USA
Seven,1995,8,"Fincher, David",USA
Heat,1995,9,"Mann, Michael",USA
La Cérémonie,1995,10,"Chabrol, Claude",France / Germany
Pulp Fiction,1994,1,"Tarantino, Quentin",USA
Red,1994,2,"Kieslowski, Krzysztof",Poland / France / Switzerland
The Shawshank Redemption,1994,3,"Darabont, Frank",USA
White,1994,4,"Kieslowski, Krzysztof",France / Poland / Switzerland / UK
Forrest Gump,1994,5,"Zemeckis, Robert",USA
Crumb,1994,6,"Zwigoff, Terry",USA
Hoop Dreams,1994,7,"James, Steve",USA
Lamerica,1994,8,"Amelio, Gianni",Italy / France
Four Weddings and a Funeral,1994,9,"Newell, Mike",UK
Quiz Show,1994,10,"Redford, Robert",USA
Schindler's List,1993,1,"Spielberg, Steven",USA
Farewell My Concubine,1993,2,"Chen, Kaige",China / Hong Kong
The Piano,1993,3,"Campion, Jane",Australia / New Zealand / France
Blue,1993,4,"Kieslowski, Krzysztof",France / Poland / Switzerland / UK
Groundhog Day,1993,5,"Ramis, Harold",USA
Short Cuts,1993,6,"Altman, Robert",USA
Jurassic Park,1993,7,"Spielberg, Steven",USA
The Remains of the Day,1993,8,"Ivory, James",UK / USA
The Fugitive,1993,9,"Davis, Andrew",USA
The Age of Innocence,1993,10,"Scorsese, Martin",USA
Unforgiven,1992,1,"Eastwood, Clint",USA
The Player,1992,2,"Altman, Robert",USA
The Crying Game,1992,3,"Jordan, Neil",UK / Japan
Reservoir Dogs,1992,4,"Tarantino, Quentin",USA
Howards End,1992,5,"Ivory, James",UK / Japan
Malcolm X,1992,6,"Lee, Spike",USA
One False Move,1992,7,"Franklin, Carl",USA
The Story of Qiu Ju,1992,8,"Zhang, Yimou",China / Hong Kong
Glengarry Glen Ross,1992,9,"Foley, James",USA
