Title,Year,Rank,Directors,Countries
Day for Night,1973,2,"Truffaut, François",France / Italy
American Graffiti,1973,3,"Lucas, George",USA
The Exorcist,1973,4,"Friedkin, William",USA
Mean Streets,1973,5,"Scorsese, Martin",USA
Badlands,1973,6,"Malick, Terrence",USA
Amarcord,1973,7,"Fellini, Federico",Italy / France
Don't Look Now,1973,8,"Roeg, Nicolas",Italy / UK
The Sting,1973,9,"Hill, George Roy",USA
The Long Goodbye,1973,10,"Altman, Robert",USA
The Godfather,1972,1,"Coppola, Francis Ford",USA
"Aguirre, The Wrath of God",1972,2,"Herzog, Werner",West Germany / Peru / Mexico
The Discreet Charm of the Bourgeoisie,1972,3,"Buñuel, Luis",France / Italy / Spain
Cabaret,1972,4,"Fosse, Bob",USA
Solaris,1972,5,"Tarkovsky, Andrei",Soviet Union
Deliverance,1972,6,"Boorman, John",USA
Cries and Whispers,1972,7,"Bergman, Ingmar",Sweden
Last Tango in Paris,1972,8,"Bertolucci, Bernardo",Italy / France
Fat City,1972,9,"Huston, John",USA
Frenzy,1972,10,"Hitchcock, Alfred",UK
The French Connection,1971,1,"Friedkin, William",USA
The Last Picture Show,1971,2,"Bogdanovich, Peter",USA
A Clockwork Orange,1971,3,"Kubrick, Stanley",UK
McCabe & Mrs. Miller,1971,4,"Altman, Robert",USA
Murmur of the Heart,1971,5,"Malle, Louis",France / Italy / West Germany
Dirty Harry,1971,6,"Siegel, Don",USA
Walkabout,1971,7,"Roeg, Nicolas",UK
Klute,1971,8,"Pakula, Alan J.",USA
Death in Venice,1971,9,"Visconti, Luchino",Italy / France
The Go-Between,1971,10,"Losey, Joseph",UK
The Conformist,1970,1,"Bertolucci, Bernardo",Italy / France / West Germany
M*A*S*H,1970,2,"Altman, Robert",USA
Five Easy Pieces,1970,3,"Rafelson, Bob",USA
Tristana,1970,4,"Buñuel, Luis",France / Italy / Spain
Le Boucher,1970,5,"Chabrol, Claude",France / Italy
Patton,1970,6,"Schaffner, Franklin J.",USA
Woodstock,1970,7,"Wadleigh, Michael",USA
The Garden of the Finzi-Continis,1970,8,"De Sica, Vittorio",Italy / West Germany
Claire's Knee,1970,9,"Rohmer, Eric",France
Little Big Man,1970,10,"Penn, Arthur",USA
The Wild Bunch,1969,1,"Peckinpah, Sam",USA
Midnight Cowboy,1969,2,"Schlesinger, John",USA
Butch Cassidy and the Sundance Kid,1969,3,"Hill, George Roy",USA
Easy Rider,1969,4,"Hopper, Dennis",USA
Z,1969,5,Costa-Gavras,Algeria / France
Kes,1969,6,"Loach, Ken",UK
The Sorrow and the Pity,1969,7,"Ophüls, Marcel",France / Switzerland / West Germany
My Night at Maud's,1969,8,"Rohmer, Eric",France
"They Shoot Horses, Don't They?",1969,9,"Pollack, Sydney",USA
Army of Shadows,1969,10,"Melville, Jean-Pierre",France / Italy
2001: A Space Odyssey,1968,1,"Kubrick, Stanley",UK / USA
Once Upon a Time in the West,1968,2,"Leone, Sergio",Italy / USA
Night of the Living Dead,1968,3,"Romero, George A.",USA
If...,1968,4,"Anderson, Lindsay",UK
Faces,1968,5,"Cassavetes, John",USA
Rosemary's Baby,1968,6,"Polanski, Roman",USA
Shame,1968,7,"Bergman, Ingmar",Sweden
Planet of the Apes,1968,8,"Schaffner, Franklin J.",USA
Stolen Kisses,1968,9,"Truffaut, François",France
Bullitt,1968,10,"Yates, Peter",USA
Bonnie and Clyde,1967,1,"Penn, Arthur",USA
Belle de jour,1967,2,"Buñuel, Luis",France / Italy
The Graduate,1967,3,"Nichols, Mike",USA
Playtime,1967,4,"Tati, Jacques",France / Italy
The Producers,1967,5,"Brooks, Mel",USA
In the Heat of the Night,1967,6,"Jewison, Norman",USA
Le Samouraï,1967,7,"Melville, Jean-Pierre",France / Italy
Weekend,1967,8,"Godard, Jean-Luc",Italy / France
Cool Hand Luke,1967,9,"Rosenberg, Stuart",USA
Point Blank,1967,10,"Boorman, John",USA
Persona,1966,1,"Bergman, Ingmar",Sweden
Blow-Up,1966,2,"Antonioni, Michelangelo",UK / Italy
"The Good, the Bad, and the Ugly",1966,3,"Leone, Sergio",Italy / Spain
Andrei Roublev,1966,4,"Tarkovsky, Andrei",Soviet Union
Closely Watched Trains,1966,5,"Menzel, Jirí",Czechoslovakia
Who's Afraid of Virginia Woolf?,1966,6,"Nichols, Mike",USA
Au hasard Balthazar,1966,7,"Bresson, Robert",France / Sweden
A Man for All Seasons,1966,8,"Zinnemann, Fred",UK
War and Peace,1966,9,"Bondarchuk, Sergei",Soviet Union
"Masculin, féminin",1966,10,"Godard, Jean-Luc",France / Sweden
The Battle of Algiers,1965,1,"Pontecorvo, Gillo",Algeria / Italy
The Sound of Music,1965,2,"Wise, Robert",USA
Doctor Zhivago,1965,3,"Lean, David",USA
Repulsion,1965,4,"Polanski, Roman",UK
Loves of a Blonde,1965,5,"Forman, Milos",Czechoslovakia
Pierrot le fou,1965,6,"Godard, Jean-Luc",France / Italy
Darling,1965,7,"Schlesinger, John",UK
Chimes at Midnight,1965,8,"Welles, Orson",Spain / Switzerland
Shadows of Forgotten Ancestors,1965,9,"Parajanov, Sergei",Soviet Union
Juliet of the Spirits,1965,10,"Fellini, Federico",Italy / France / West Germany
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,1,"Kubrick, Stanley",UK
A Hard Day's Night,1964,2,"Lester, Richard",UK
My Fair Lady,1964,3,"Cukor, George",USA
The Gospel According to St. Matthew,1964,4,"Pasolini, Pier Paolo",France / Italy
Goldfinger,1964,5,"Hamilton, Guy",UK
The Umbrellas of Cherbourg,1964,6,"Demy, Jacques",France / West Germany
Woman in the Dunes,1964,7,"Teshigahara, Hiroshi",Japan
Mary Poppins,1964,8,"Stevenson, Robert",USA
Gertrud,1964,9,"Dreyer, Carl Theodor",Denmark
Band of Outsiders,1964,10,"Godard, Jean-Luc",France
8 1/2,1963,1,"Fellini, Federico",Italy / France
Contempt,1963,2,"Godard, Jean-Luc",France / Italy
Tom Jones,1963,3,"Richardson, Tony",UK
The Leopard,1963,4,"Visconti, Luchino",Italy / France
The Birds,1963,5,"Hitchcock, Alfred",USA
Hud,1963,6,"Ritt, Martin",USA
Shock Corridor,1963,7,"Fuller, Samuel",USA
The Great Escape,1963,8,"Sturges, John",USA
This Sporting Life,1963,9,"Anderson, Lindsay",UK
Billy Liar,1963,10,"Schlesinger, John",UK
Lawrence of Arabia,1962,1,"Lean, David",UK
Jules and Jim,1962,2,"Truffaut, François",France
The Manchurian Candidate,1962,3,"Frankenheimer, John",USA
To Kill a Mockingbird,1962,4,"Mulligan, Robert",USA
Knife in the Water,1962,5,"Polanski, Roman",Poland
The Man Who Shot Liberty Valance,1962,6,"Ford, John",USA
L'Eclisse,1962,7,"Antonioni, Michelangelo",Italy / France
Vivre sa vie,1962,8,"Godard, Jean-Luc",France
The Exterminating Angel,1962,9,"Buñuel, Luis",Mexico
What Ever Happened to Baby Jane?,1962,10,"Aldrich, Robert",USA
West Side Story,1961,1,"Robbins, Jerome / Wise, Robert",USA
Viridiana,1961,2,"Buñuel, Luis",Mexico / Spain
The Hustler,1961,3,"Rossen, Robert",USA
Last Year at Marienbad,1961,4,"Resnais, Alain",France / Italy
Yojimbo,1961,5,"Kurosawa, Akira",Japan
Through a Glass Darkly,1961,6,"Bergman, Ingmar",Sweden
Breakfast at Tiffany's,1961,7,"Edwards, Blake",USA
A Taste of Honey,1961,8,"Richardson, Tony",UK
Lola,1961,9,"Demy, Jacques",Italy / France
La Notte,1961,10,"Antonioni, Michelangelo",Italy / France
Psycho,1960,1,"Hitchcock, Alfred",USA
Breathless,1960,2,"Godard, Jean-Luc",France
La Dolce Vita,1960,3,"Fellini, Federico",Italy / France
L'Avventura,1960,4,"Antonioni, Michelangelo",Italy / France
The Apartment,1960,5,"Wilder, Billy",USA
Rocco and His Brothers,1960,6,"Visconti, Luchino",France / Italy
Spartacus,1960,7,"Kubrick, Stanley",USA
Saturday Night and Sunday Morning,1960,8,"Reisz, Karel",UK
Peeping Tom,1960,9,"Powell, Michael",UK
Shoot the Piano Player,1960,10,"Truffaut, François",France
The 400 Blows,1959,1,"Truffaut, François",France
Some Like It Hot,1959,2,"Wilder, Billy",USA
The World of Apu,1959,3,"Ray, Satyajit",India
North by Northwest,1959,4,"Hitchcock, Alfred",USA
Ben-Hur,1959,5,"Wyler, William",USA
Anatomy of a Murder,1959,6,"Preminger, Otto",USA
Hiroshima Mon Amour,1959,7,"Resnais, Alain",France / Japan
Rio Bravo,1959,8,"Hawks, Howard",USA
Pickpocket,1959,9,"Bresson, Robert",France
Room at the Top,1959,10,"Clayton, Jack",UK
Vertigo,1958,1,"Hitchcock, Alfred",USA
Touch of Evil,1958,2,"Welles, Orson",USA
Ashes and Diamonds,1958,3,"Wajda, Andrzej",Poland
Gigi,1958,4,"Minnelli, Vincente",USA
Mon oncle,1958,5,"Tati, Jacques",Italy / France
The Defiant Ones,1958,6,"Kramer, Stanley",USA
A Night to Remember,1958,7,"Baker, Roy Ward",UK
Cat on a Hot Tin Roof,1958,8,"Brooks, Richard",USA
"Ivan the Terrible, Part Two",1958,9,"Eisenstein, Sergei M. / Filimonova, M.",Soviet Union
Horror of Dracula,1958,10,"Fisher, Terence",UK
The Seventh Seal,1957,1,"Bergman, Ingmar",Sweden
The Bridge on the River Kwai,1957,2,"Lean, David",UK / USA
Sweet Smell of Success,1957,3,"Mackendrick, Alexander",USA
Paths of Glory,1957,4,"Kubrick, Stanley",USA
12 Angry Men,1957,5,"Lumet, Sidney",USA
Throne of Blood,1957,6,"Kurosawa, Akira",Japan
Wild Strawberries,1957,7,"Bergman, Ingmar",Sweden
Nights of Cabiria,1957,8,"Fellini, Federico",Italy / France
A Face in the Crowd,1957,9,"Kazan, Elia",USA
Funny Face,1957,10,"Donen, Stanley",USA
The Searchers,1956,1,"Ford, John",USA
Aparajito,1956,2,"Ray, Satyajit",India
Invasion of the Body Snatchers,1956,3,"Siegel, Don",USA
Written on the Wind,1956,4,"Sirk, Douglas",USA
Giant,1956,5,"Stevens, George",USA
A Man Escaped,1956,6,"Bresson, Robert",France
Bob le flambeur,1956,7,"Melville, Jean-Pierre",France
The Burmese Harp,1956,8,"Ichikawa, Kon",Japan
The Ten Commandments,1956,9,"DeMille, Cecil B.",USA
The Killing,1956,10,"Kubrick, Stanley",USA
Pather Panchali,1955,1,"Ray, Satyajit",India
The Night of the Hunter,1955,2,"Laughton, Charles",USA
Rebel Without a Cause,1955,3,"Ray, Nicholas",USA
Smiles of a Summer Night,1955,4,"Bergman, Ingmar",Sweden
Diabolique,1955,5,"Clouzot, Henri-Georges",France
Marty,1955,6,"Mann, Delbert",USA
Bad Day at Black Rock,1955,7,"Sturges, John",USA
Rififi,1955,8,"Dassin, Jules",France
Kiss Me Deadly,1955,9,"Aldrich, Robert",USA
East of Eden,1955,10,"Kazan, Elia",USA
Seven Samurai,1954,1,"Kurosawa, Akira",Japan
On the Waterfront,1954,2,"Kazan, Elia",USA
Rear Window,1954,3,"Hitchcock, Alfred",USA
Sansho the Bailiff,1954,4,"Mizoguchi, Kenji",Japan
La Strada,1954,5,"Fellini, Federico",Italy
Johnny Guitar,1954,6,"Ray, Nicholas",USA
A Star Is Born,1954,7,"Cukor, George",USA
Seven Brides for Seven Brothers,1954,8,"Donen, Stanley",USA
Senso,1954,9,"Visconti, Luchino",Italy
Carmen Jones,1954,10,"Preminger, Otto",USA
Tokyo Story,1953,1,"Ozu, Yasujiro",Japan
Ugetsu,1953,2,"Mizoguchi, Kenji",Japan
Monsieur Hulot's Holiday,1953,3,"Tati, Jacques",France
The Wages of Fear,1953,4,"Clouzot, Henri-Georges",France / Italy
Shane,1953,5,"Stevens, George",USA
From Here to Eternity,1953,6,"Zinnemann, Fred",USA
The Earrings of Madame de...,1953,7,"Ophüls, Max",France / Italy
The Band Wagon,1953,8,"Minnelli, Vincente",USA
Roman Holiday,1953,9,"Wyler, William",USA
The Big Heat,1953,10,"Lang, Fritz",USA
Singin' in the Rain,1952,1,"Kelly, Gene / Donen, Stanley",USA
Ikiru,1952,2,"Kurosawa, Akira",Japan
High Noon,1952,3,"Zinnemann, Fred",USA
Forbidden Games,1952,4,"Clément, René",France
The Quiet Man,1952,5,"Ford, John",USA
Umberto D.,1952,6,"De Sica, Vittorio",Italy
The Bad and the Beautiful,1952,7,"Minnelli, Vincente",USA
The Golden Coach,1952,8,"Renoir, Jean",France / Italy
Europa '51,1952,9,"Rossellini, Roberto",Italy
Limelight,1952,10,"Chaplin, Charles",USA
A Streetcar Named Desire,1951,1,"Kazan, Elia",USA
Diary of a Country Priest,1951,2,"Bresson, Robert",France
An American in Paris,1951,3,"Minnelli, Vincente",USA
The African Queen,1951,4,"Huston, John",UK / USA
Strangers on a Train,1951,5,"Hitchcock, Alfred",USA
The Lavender Hill Mob,1951,6,"Crichton, Charles",UK
A Place in the Sun,1951,7,"Stevens, George",USA
Ace in the Hole,1951,8,"Wilder, Billy",USA
The Day the Earth Stood Still,1951,9,"Wise, Robert",USA
The River,1951,10,"Renoir, Jean",France / India / USA
Rashômon,1950,1,"Kurosawa, Akira",Japan
All About Eve,1950,2,"Mankiewicz, Joseph L.",USA
Sunset Boulevard,1950,3,"Wilder, Billy",USA
Los Olvidados,1950,4,"Buñuel, Luis",Mexico
Orpheus,1950,5,"Cocteau, Jean",France
The Asphalt Jungle,1950,6,"Huston, John",USA
In a Lonely Place,1950,7,"Ray, Nicholas",USA
Born Yesterday,1950,8,"Cukor, George",USA
Gun Crazy,1950,9,"Lewis, Joseph H.",USA
Winchester '73,1950,10,"Mann, Anthony",USA
The Third Man,1949,1,"Reed, Carol",UK
Kind Hearts and Coronets,1949,2,"Hamer, Robert",UK
White Heat,1949,3,"Walsh, Raoul",USA
All the King's Men,1949,4,"Rossen, Robert",USA
On the Town,1949,5,"Kelly, Gene / Donen, Stanley",USA
The Heiress,1949,6,"Wyler, William",USA
Adam's Rib,1949,7,"Cukor, George",USA
Twelve O'Clock High,1949,8,"King, Henry",USA
Whisky Galore!,1949,9,"Mackendrick, Alexander",UK
Late Spring,1949,10,"Ozu, Yasujiro",Japan
Bicycle Thieves,1948,1,"De Sica, Vittorio",Italy
The Treasure of the Sierra Madre,1948,2,"Huston, John",USA
Red River,1948,3,"Hawks, Howard / Rosson, Arthur",USA
The Red Shoes,1948,4,"Powell, Michael / Pressburger, Emeric",UK
Letter from an Unknown Woman,1948,5,"Ophüls, Max",USA
Force of Evil,1948,6,"Polonsky, Abraham",USA
Oliver Twist,1948,7,"Lean, David",UK
Hamlet,1948,8,"Olivier, Laurence",UK
The Snake Pit,1948,9,"Litvak, Anatole",USA
The Fallen Idol,1948,10,"Reed, Carol",UK
Out of the Past,1947,1,"Tourneur, Jacques",USA
Odd Man Out,1947,2,"Reed, Carol",UK
Black Narcissus,1947,3,"Powell, Michael / Pressburger, Emeric",UK
Crossfire,1947,4,"Dmytryk, Edward",USA
Monsieur Verdoux,1947,5,"Chaplin, Charles",USA
The Lady from Shanghai,1947,6,"Welles, Orson",USA
Miracle on 34th Street,1947,7,"Seaton, George",USA
Gentleman's Agreement,1947,8,"Kazan, Elia",USA
Body and Soul,1947,9,"Rossen, Robert",USA
Boomerang!,1947,10,"Kazan, Elia",USA
It's a Wonderful Life,1946,1,"Capra, Frank",USA
The Best Years of Our Lives,1946,2,"Wyler, William",USA
Beauty and the Beast,1946,3,"Cocteau, Jean / Clément, René",France / Luxembourg
Notorious,1946,4,"Hitchcock, Alfred",USA
My Darling Clementine,1946,5,"Ford, John",USA
Great Expectations,1946,6,"Lean, David",UK
The Big Sleep,1946,7,"Hawks, Howard",USA
A Matter of Life and Death,1946,8,"Powell, Michael / Pressburger, Emeric",UK
The Killers,1946,9,"Siodmak, Robert",USA
Paisan,1946,10,"Rossellini, Roberto",Italy
Children of Paradise,1945,1,"Carné, Marcel",France
Rome Open City,1945,2,"Rossellini, Roberto",Italy
The Lost Weekend,1945,3,"Wilder, Billy",USA
Brief Encounter,1945,4,"Lean, David",UK
Mildred Pierce,1945,5,"Curtiz, Michael",USA
"Ivan the Terrible, Part One",1945,6,"Eisenstein, Sergei M.",Soviet Union
Detour,1945,7,"Ulmer, Edgar G.",USA
I Know Where I'm Going!,1945,8,"Powell, Michael / Pressburger, Emeric",UK
Dead of Night,1945,9,"Cavalcanti, Alberto / Crichton, Charles / Dearden, Basil / Hamer, Robert",UK
Spellbound,1945,10,"Hitchcock, Alfred",USA
Double Indemnity,1944,1,"Wilder, Billy",USA
Meet Me in St. Louis,1944,2,"Minnelli, Vincente",USA
Laura,1944,3,"Preminger, Otto / Mamoulian, Rouben",USA
Henry V,1944,4,"Olivier, Laurence",UK
The Miracle of Morgan's Creek,1944,5,"Sturges, Preston",USA
To Have and Have Not,1944,6,"Hawks, Howard",USA
Going My Way,1944,7,"McCarey, Leo",USA
Hail the Conquering Hero,1944,8,"Sturges, Preston",USA
Gaslight,1944,9,"Cukor, George",USA
"Murder, My Sweet",1944,10,"Dmytryk, Edward",USA
The Life and Death of Colonel Blimp,1943,1,"Powell, Michael / Pressburger, Emeric",UK
Shadow of a Doubt,1943,2,"Hitchcock, Alfred",USA
The Ox-Bow Incident,1943,3,"Wellman, William A.",USA
Ossessione,1943,4,"Visconti, Luchino",Italy
Day of Wrath,1943,5,"Dreyer, Carl Theodor",Denmark
I Walked with a Zombie,1943,6,"Tourneur, Jacques",USA
The More the Merrier,1943,7,"Stevens, George",USA
For Whom the Bell Tolls,1943,8,"Wood, Sam",USA
Watch on the Rhine,1943,9,"Shumlin, Herman / Mohr, Hal",USA
The Song of Bernadette,1943,10,"King, Henry",USA
Casablanca,1942,1,"Curtiz, Michael",USA
The Magnificent Ambersons,1942,2,"Welles, Orson",USA
To Be or Not to Be,1942,3,"Lubitsch, Ernst",USA
Bambi,1942,4,"Hand, David / Algar, James / Armstrong, Samuel / Heid, Graham / Pearce, Perce / Roberts, Bill / Satterfield, Paul / Wright, Norman",USA
Yankee Doodle Dandy,1942,5,"Curtiz, Michael",USA
"Now, Voyager",1942,6,"Rapper, Irving",USA
The Palm Beach Story,1942,7,"Sturges, Preston",USA
Cat People,1942,8,"Tourneur, Jacques",USA
Woman of the Year,1942,9,"Stevens, George",USA
Kings Row,1942,10,"Wood, Sam",USA
Citizen Kane,1941,1,"Welles, Orson",USA
The Maltese Falcon,1941,2,"Huston, John",USA
The Lady Eve,1941,3,"Sturges, Preston",USA
Sullivan's Travels,1941,4,"Sturges, Preston",USA
How Green Was My Valley,1941,5,"Ford, John",USA
Dumbo,1941,6,"Sharpsteen, Ben / Armstrong, Samuel / Ferguson, Norman / Jackson, Wilfred / Kinney, Jack / Roberts, Bill",USA
Here Comes Mr. Jordan,1941,7,"Hall, Alexander",USA
The Little Foxes,1941,8,"Wyler, William",USA
Sergeant York,1941,9,"Hawks, Howard",USA
High Sierra,1941,10,"Walsh, Raoul",USA
The Grapes of Wrath,1940,1,"Ford, John",USA
His Girl Friday,1940,2,"Hawks, Howard",USA
Pinocchio,1940,3,"Luske, Hamilton / Sharpsteen, Ben",USA
Rebecca,1940,4,"Hitchcock, Alfred",USA
The Philadelphia Story,1940,5,"Cukor, George",USA
The Bank Dick,1940,6,"Cline, Edward F.",USA
Fantasia,1940,7,"Algar, James / Armstrong, Samuel / Beebe, Ford / Ferguson, Norman / Handley, Jim / Hee, T. / Jackson, Wilfred / Luske, Hamilton / Roberts, Bill / Satterfield, Paul / Sharpsteen, Ben",USA
The Great Dictator,1940,8,"Chaplin, Charles",USA
The Thief of Bagdad,1940,9,"Berger, Ludwig / Powell, Michael / Whelan, Tim / Korda, Alexander / Korda, Zoltan / Menzies, William Cameron",UK / USA
The Shop around the Corner,1940,10,"Lubitsch, Ernst",USA
The Rules of the Game,1939,1,"Renoir, Jean",France
Gone with the Wind,1939,2,"Fleming, Victor",USA
The Wizard of Oz,1939,3,"Fleming, Victor / Vidor, King / Cukor, George / LeRoy, Mervyn",USA
Stagecoach,1939,4,"Ford, John",USA
Mr. Smith Goes to Washington,1939,5,"Capra, Frank",USA
Ninotchka,1939,6,"Lubitsch, Ernst",USA
Le Jour se lève,1939,7,"Carné, Marcel",France
Wuthering Heights,1939,8,"Wyler, William",USA
The Women,1939,9,"Cukor, George",USA
Destry Rides Again,1939,10,"Marshall, George",USA
Bringing Up Baby,1938,1,"Hawks, Howard",USA
The Adventures of Robin Hood,1938,2,"Curtiz, Michael / Keighley, William",USA
Jezebel,1938,3,"Wyler, William",USA
Alexander Nevsky,1938,4,"Eisenstein, Sergei M. / Vasilyev, Dmitri",Soviet Union
Olympia Part One: Festival of the Nations,1938,5,"Riefenstahl, Leni",Germany
Pygmalion,1938,6,"Asquith, Anthony / Howard, Leslie",UK
Olympia Part Two: Festival of Beauty,1938,7,"Riefenstahl, Leni",Germany
The Lady Vanishes,1938,8,"Hitchcock, Alfred",UK
Angels with Dirty Faces,1938,9,"Curtiz, Michael",USA
The Baker's Wife,1938,10,"Pagnol, Marcel",France
Grand Illusion,1937,1,"Renoir, Jean",France
Snow White and the Seven Dwarfs,1937,2,"Hand, David",USA
The Life of Emile Zola,1937,3,"Dieterle, William",USA
The Awful Truth,1937,4,"McCarey, Leo",USA
Make Way for Tomorrow,1937,5,"McCarey, Leo",USA
The Good Earth,1937,6,"Fleming, Victor / Franklin, Sidney / Machatý, Gustav",USA
Stage Door,1937,7,"La Cava, Gregory",USA
A Star Is Born,1937,8,"Wellman, William A. / Conway, Jack",USA
The Prisoner of Zenda,1937,9,"Cromwell, John / Cukor, George / Van Dyke, W.S.",USA
Lost Horizon,1937,10,"Capra, Frank",USA
Modern Times,1936,1,"Chaplin, Charles",USA
Dodsworth,1936,2,"Wyler, William",USA
Swing Time,1936,3,"Stevens, George",USA
Mr. Deeds Goes to Town,1936,4,"Capra, Frank",USA
My Man Godfrey,1936,5,"La Cava, Gregory",USA
Camille,1936,6,"Cukor, George",USA
Fury,1936,7,"Lang, Fritz",USA
A Day in the Country,1936,8,"Renoir, Jean",France
San Francisco,1936,9,"Van Dyke, W.S.",USA
Show Boat,1936,10,"Whale, James",USA
Top Hat,1935,1,"Sandrich, Mark",USA
The Bride of Frankenstein,1935,2,"Whale, James",USA
The 39 Steps,1935,3,"Hitchcock, Alfred",UK
Mutiny on the Bounty,1935,4,"Lloyd, Frank",USA
A Night at the Opera,1935,5,"Wood, Sam",USA
The Informer,1935,6,"Ford, John",USA
David Copperfield,1935,7,"Cukor, George",USA
Triumph of the Will,1935,8,"Riefenstahl, Leni",Germany
Ruggles of Red Gap,1935,9,"McCarey, Leo",USA
Les Misérables,1935,10,"Boleslawski, Richard",USA
It Happened One Night,1934,1,"Capra, Frank",USA
L'Atalante,1934,2,"Vigo, Jean",France
The Thin Man,1934,3,"Van Dyke, W.S.",USA
It's a Gift,1934,4,"McLeod, Norman Z.",USA
The Scarlet Empress,1934,5,"von Sternberg, Josef",USA
Twentieth Century,1934,6,"Hawks, Howard",USA
The Count of Monte Cristo,1934,7,"Lee, Rowland V. / Lucas, Wilfred",USA
The Gay Divorcee,1934,8,"Sandrich, Mark",USA
The Black Cat,1934,9,"Ulmer, Edgar G.",USA
Viva Villa!,1934,10,"Conway, Jack / Hawks, Howard / Wellman, William A.",USA
King Kong,1933,1,"Cooper, Merian C. / Schoedsack, Ernest B.",USA
Duck Soup,1933,2,"McCarey, Leo",USA
Zéro de conduite,1933,3,"Vigo, Jean",France
42nd Street,1933,4,"Bacon, Lloyd",USA
Queen Christina,1933,5,"Mamoulian, Rouben",USA
Little Women,1933,6,"Cukor, George",USA
She Done Him Wrong,1933,7,"Sherman, Lowell",USA
The Private Life of Henry VIII,1933,8,"Korda, Alexander",UK
Dinner at Eight,1933,9,"Cukor, George",USA
Gold Diggers of 1933,1933,10,"LeRoy, Mervyn",USA
Trouble in Paradise,1932,1,"Lubitsch, Ernst",USA
Scarface,1932,2,"Hawks, Howard / Rosson, Richard",USA
I Am a Fugitive from a Chain Gang,1932,3,"LeRoy, Mervyn",USA
Boudu Saved from Drowning,1932,4,"Renoir, Jean",France
Love Me Tonight,1932,5,"Mamoulian, Rouben",USA
Freaks,1932,6,"Browning, Tod",USA
Vampyr,1932,7,"Dreyer, Carl Theodor",France / Germany
Shanghai Express,1932,8,"von Sternberg, Josef",USA
Grand Hotel,1932,9,"Goulding, Edmund",USA
One Hour with You,1932,10,"Cukor, George / Lubitsch, Ernst",USA
M,1931,1,"Lang, Fritz",Germany
City Lights,1931,2,"Chaplin, Charles",USA
Frankenstein,1931,3,"Whale, James",USA
The Public Enemy,1931,4,"Wellman, William A.",USA
À nous la liberté,1931,5,"Clair, René",France
Le Million,1931,6,"Clair, René",France
Dracula,1931,7,"Browning, Tod",USA
Little Caesar,1931,8,"LeRoy, Mervyn",USA
La Chienne,1931,9,"Renoir, Jean",France
Dr. Jekyll and Mr. Hyde,1931,10,"Mamoulian, Rouben",USA
All Quiet on the Western Front,1930,1,"Milestone, Lewis",USA
The Blue Angel,1930,2,"von Sternberg, Josef",Germany
L'Âge d'Or,1930,3,"Buñuel, Luis",France
Earth,1930,4,"Dovzhenko, Aleksandr",Soviet Union
Morocco,1930,5,"von Sternberg, Josef",USA
Hell's Angels,1930,6,"Hughes, Howard / Goulding, Edmund",USA
Under the Roofs of Paris,1930,7,"Clair, René",France
The Big House,1930,8,"Hill, George W.",USA
Animal Crackers,1930,9,"Heerman, Victor",USA
Monte Carlo,1930,10,"Lubitsch, Ernst",USA
The Man with the Movie Camera,1929,1,"Vertov, Dziga",Soviet Union
Pandora's Box,1929,2,"Pabst, Georg Wilhelm",Germany
Blackmail,1929,3,"Hitchcock, Alfred",UK
Hallelujah,1929,4,"Vidor, King",USA
Applause,1929,5,"Mamoulian, Rouben",USA
The Love Parade,1929,6,"Lubitsch, Ernst",USA
Disraeli,1929,7,"Green, Alfred E.",USA
Queen Kelly,1929,8,"von Stroheim, Erich / Boleslawski, Richard / Goulding, Edmund / Thalberg, Irving / Wood, Sam",USA
Big Business,1929,9,"Horne, James W. / McCarey, Leo",USA
Bulldog Drummond,1929,10,"Jones, F. Richard / Howard, Sidney",USA
The Passion of Joan of Arc,1928,1,"Dreyer, Carl Theodor",France
Un Chien Andalou,1928,2,"Buñuel, Luis",France
The Crowd,1928,3,"Vidor, King",USA
The Wind,1928,4,"Sjöström, Victor",USA
"Steamboat Bill, Jr.",1928,5,"Keaton, Buster / Reisner, Charles",USA
The Cameraman,1928,6,"Keaton, Buster / Sedgwick, Edward",USA
October (Ten Days That Shook the World),1928,7,"Eisenstein, Sergei M. / Aleksandrov, Grigori",Soviet Union
An Italian Straw Hat,1928,8,"Clair, René",France
The Last Command,1928,9,"von Sternberg, Josef",USA
The Docks of New York,1928,10,"von Sternberg, Josef",USA
Metropolis,1927,1,"Lang, Fritz",Germany
Sunrise,1927,2,"Murnau, F.W.",USA
Napoléon,1927,3,"Gance, Abel",Sweden / Italy / France / Czechoslovakia / Germany
The Jazz Singer,1927,4,"Crosland, Alan",USA
The Kid Brother,1927,5,"Wilde, Ted / Howe, J.A. / Lloyd, Harold / Milestone, Lewis",USA
Seventh Heaven,1927,6,"Borzage, Frank",USA
The Lodger,1927,7,"Hitchcock, Alfred",UK
Wings,1927,8,"Wellman, William A.",USA
Underworld,1927,9,"von Sternberg, Josef / Rosson, Arthur",USA
It,1927,10,"Badger, Clarence G. / von Sternberg, Josef",USA
The General,1926,1,"Keaton, Buster / Bruckman, Clyde",USA
The Black Pirate,1926,2,"Parker, Albert",USA
Mother,1926,3,"Pudovkin, Vsevolod",Soviet Union
Faust,1926,4,"Murnau, F.W.",Germany
Flesh and the Devil,1926,5,"Brown, Clarence",USA
The Son of the Sheik,1926,6,"Fitzmaurice, George",USA
