,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,COUNTRY,WINNER
75,tt0025919,twentieth century,1934,1,7.7,5401,200000,11,5,1934,USA,0
76,tt0026778,a night at the opera,1935,1,8,28747,1057000,15,11,1935,USA,0
77,tt0027125,top hat,1935,1,7.8,15778,609000,6,9,1935,USA,0
78,tt0026138,the bride of frankenstein,1935,0,7.9,39455,397024,6,5,1935,USA,0
79,tt0025913,triumph of the will,1935,0,7.4,13861,158995,28,3,1935,Germany,0
80,tt0026725,les misérables,1935,0,7.6,3084,1000000,20,4,1935,USA,0
81,tt0026029,the 39 steps,1935,0,7.8,47078,60000,1,8,1935,USA,0
82,tt0026955,ruggles of red gap,1935,0,7.7,3397,290000,8,3,1935,USA,0
83,tt0026529,the informer,1935,0,7.5,5210,243000,24,5,1935,USA,0
84,tt0026266,david copperfield,1935,0,7.5,3455,1073000,20,6,1935,Argentina,0
85,tt0028333,swing time,1936,1,7.6,11124,886000,12,10,1936,Brazil,0
86,tt0027532,dodsworth,1936,0,8,7283,80000,23,9,1936,USA,0
87,tt0027996,mr. deeds goes to town,1936,1,8,18268,845710,12,4,1936,USA,0
88,tt0028249,show boat,1936,1,7.5,2610,1100000,17,5,1936,USA,0
89,tt0028683,camille,1936,1,7.5,6746,1486000,12,12,1936,USA,0
90,tt0027977,modern times,1936,1,8.5,193492,1500000,25,2,1936,USA,0
91,tt0028445,a day in the country,1936,0,7.7,5135,400000,12,12,1950,USA,0
92,tt0028216,san francisco,1936,1,7.3,4559,1300000,26,6,1936,USA,0
93,tt0028950,grand illusion,1936,0,8.1,31228,70000,12,9,1938,USA,0
94,tt0028010,my man godfrey,1936,1,8.1,18922,656000,6,9,1936,USA,0
95,tt0027652,fury,1936,1,7.9,10321,604000,5,6,1936,USA,0
96,tt0029583,snow white and the seven dwarfs,1937,1,7.6,166069,2000000,4,2,1938,USA,0
97,tt0028597,the awful truth,1937,0,7.8,16316,600000,21,10,1937,USA,0
98,tt0029192,make way for tomorrow,1937,1,8.2,6480,550000,7,10,1937,France,0
99,tt0028944,the good earth,1937,0,7.7,4166,2800000,6,8,1937,USA,0
100,tt0029606,a star is born,1937,1,7.5,7772,1173639,27,4,1937,USA,0
101,tt0029162,lost horizon,1937,1,7.8,11214,4000000,1,9,1937,USA,0
102,tt0029604,stage door,1937,1,7.8,7073,952000,8,10,1937,USA,0
103,tt0029442,the prisoner of zenda,1937,0,7.7,3878,1250000,3,9,1937,USA,0
104,tt0030522,olympia part one: festival of the nations,1938,0,7.9,3973,851760,8,3,1940,USA,0
105,tt0029843,the adventures of robin hood,1938,0,8,44220,1900000,14,5,1938,USA,0
106,tt0029850,alexander nevsky,1938,0,7.6,9701,1850000,22,3,1939,USA,0
107,tt0030287,jezebel,1938,1,7.6,10772,1250000,26,3,1938,USA,0
108,tt0030523,olympia part two: festival of beauty,1938,0,7.9,3322,890000,29,3,1940,USA,0
109,tt0030341,the lady vanishes,1938,0,7.9,43006,80000,1,11,1938,USA,0
110,tt0030127,the baker's wife,1938,0,7.5,1485,780000,26,2,1940,USA,0
111,tt0029947,bringing up baby,1938,1,7.9,51391,1073000,18,2,1938,USA,0
112,tt0029870,angels with dirty faces,1938,1,7.9,18452,900000,26,11,1938,USA,0
113,tt0030637,pygmalion,1938,0,7.8,7198,350000,3,3,1939,USA,0
114,tt0032138,the wizard of oz,1939,0,8,354596,2800000,25,8,1939,USA,0
115,tt0031725,ninotchka,1939,1,8,17360,1365000,23,11,1939,USA,0
116,tt0031514,le jour se lève,1939,0,7.8,5974,846546,29,7,1940,USA,0
117,tt0032145,wuthering heights,1939,1,7.7,15021,1000000,7,4,1939,USA,0
118,tt0032143,the women,1939,1,7.9,11645,1688000,1,9,1939,USA,0
119,tt0031971,stagecoach,1939,1,7.9,38550,392000,3,3,1939,USA,0
