,TITLE,YEAR,RANK
243,crumb,1994,6
244,hoop dreams,1994,7
245,lamerica,1994,8
246,four weddings and a funeral,1994,9
247,quiz show,1994,10
248,farewell my concubine,1993,2
249,the piano,1993,3
250,blue,1993,4
251,groundhog day,1993,5
252,short cuts,1993,6
253,jurassic park,1993,7
254,the remains of the day,1993,8
255,the fugitive,1993,9
256,the age of innocence,1993,10
257,the player,1992,2
258,the crying game,1992,3
259,reservoir dogs,1992,4
260,howards end,1992,5
261,malcolm x,1992,6
262,one false move,1992,7
263,the story of qiu ju,1992,8
264,glengarry glen ross,1992,9
265,aladdin,1992,10
266,raise the red lantern,1991,1
267,thelma & louise,1991,3
268,beauty and the beast,1991,4
269,the double life of véronique,1991,5
270,terminator 2: judgment day,1991,6
271,la belle noiseuse,1991,7
272,delicatessen,1991,8
273,boyz n the hood,1991,9
274,jfk,1991,10
275,goodfellas,1990,1
276,cyrano de bergerac,1990,2
277,close-up,1990,4
278,the grifters,1990,5
279,europa europa,1990,6
280,miller's crossing,1990,7
281,reversal of fortune,1990,8
282,the nasty girl,1990,9
283,metropolitan,1990,10
284,do the right thing,1989,1
285,dekalog,1989,2
286,crimes and misdemeanors,1989,3
287,when harry met sally,1989,4
288,field of dreams,1989,5
289,"sex, lies, and videotape",1989,6
290,born on the fourth of july,1989,7
291,my left foot,1989,8
292,drugstore cowboy,1989,9
293,the killer,1989,10
294,cinema paradiso,1988,1
295,women on the verge of a nervous breakdown,1988,2
296,who framed roger rabbit,1988,3
297,dangerous liaisons,1988,4
298,die hard,1988,5
299,bull durham,1988,6
300,landscape in the mist,1988,7
301,the thin blue line,1988,8
302,salaam bombay!,1988,10
303,wings of desire,1987,1
304,"au revoir, les enfants",1987,2
305,the dead,1987,4
306,broadcast news,1987,5
307,hope and glory,1987,6
308,yeelen,1987,7
309,moonstruck,1987,8
310,babette's feast,1987,9
311,pelle the conqueror,1987,10
312,blue velvet,1986,1
313,hannah and her sisters,1986,2
314,jean de florette,1986,4
315,manon of the spring,1986,5
316,aliens,1986,6
317,the fly,1986,7
318,stand by me,1986,8
319,'round midnight,1986,9
320,sherman's march,1986,10
321,ran,1985,1
322,shoah,1985,2
323,a room with a view,1985,3
324,come and see,1985,4
325,back to the future,1985,5
326,witness,1985,6
327,brazil,1985,7
328,prizzi's honor,1985,8
329,tampopo,1985,10
330,"paris, texas",1984,2
331,the killing fields,1984,3
332,this is spinal tap,1984,4
333,the terminator,1984,5
334,once upon a time in america,1984,6
335,stranger than paradise,1984,7
336,a sunday in the country,1984,8
337,heimat,1984,9
338,a passage to india,1984,10
339,the right stuff,1983,1
340,the dresser,1983,2
341,the big chill,1983,3
342,l'argent,1983,5
343,scarface,1983,6
344,the fourth man,1983,7
345,local hero,1983,8
346,el norte,1983,9
347,silkwood,1983,10
348,e.t. the extra-terrestrial,1982,1
349,fanny & alexander,1982,2
350,blade runner,1982,3
351,tootsie,1982,4
352,the king of comedy,1982,5
353,fitzcarraldo,1982,6
354,diner,1982,7
355,the verdict,1982,9
356,night of the shooting stars,1982,10
357,raiders of the lost ark,1981,1
358,reds,1981,3
359,das boot,1981,4
360,pixote,1981,5
361,diva,1981,6
362,the road warrior,1981,7
363,gallipoli,1981,8
364,mephisto,1981,9
365,man of iron,1981,10
366,raging bull,1980,1
367,atlantic city,1980,2
368,airplane!,1980,3
369,the elephant man,1980,4
370,the big red one,1980,5
371,star wars: episode v - the empire strikes back,1980,6
372,the shining,1980,7
373,kagemusha,1980,9
374,mon oncle d'amérique,1980,10
375,apocalypse now,1979,1
376,manhattan,1979,2
377,alien,1979,3
378,the marriage of maria braun,1979,5
379,being there,1979,6
380,all that jazz,1979,7
381,the tin drum,1979,8
382,breaking away,1979,9
383,monty python's life of brian,1979,10
384,days of heaven,1978,2
385,halloween,1978,3
386,killer of sheep,1978,4
387,the tree of wooden clogs,1978,5
388,dawn of the dead,1978,6
389,superman,1978,7
390,the last waltz,1978,8
391,grease,1978,9
392,national lampoon's animal house,1978,10
393,star wars: episode iv - a new hope,1977,2
394,close encounters of the third kind,1977,3
395,saturday night fever,1977,4
396,that obscure object of desire,1977,5
397,the american friend,1977,6
398,suspiria,1977,7
399,eraserhead,1977,8
400,julia,1977,9
401,soldier of orange,1977,10
402,taxi driver,1976,1
403,all the president's men,1976,2
404,network,1976,3
405,cría cuervos,1976,5
406,1900,1976,6
407,the shootist,1976,7
408,the outlaw josey wales,1976,8
409,in the realm of the senses,1976,9
410,carrie,1976,10
411,nashville,1975,1
412,jaws,1975,3
413,barry lyndon,1975,4
414,dog day afternoon,1975,5
415,picnic at hanging rock,1975,6
416,monty python and the holy grail,1975,7
417,night moves,1975,8
418,smile,1975,9
419,the man who would be king,1975,10
420,chinatown,1974,1
421,the conversation,1974,3
422,celine and julie go boating,1974,4
423,the enigma of kaspar hauser,1974,5
424,young frankenstein,1974,6
425,lacombe lucien,1974,7
426,a woman under the influence,1974,8
427,ali: fear eats the soul,1974,9
428,blazing saddles,1974,10
429,the spirit of the beehive,1973,1
430,day for night,1973,2
431,american graffiti,1973,3
432,the exorcist,1973,4
433,mean streets,1973,5
434,badlands,1973,6
435,amarcord,1973,7
436,don't look now,1973,8
437,the long goodbye,1973,10
438,"aguirre, the wrath of god",1972,2
439,the discreet charm of the bourgeoisie,1972,3
440,cabaret,1972,4
441,solaris,1972,5
442,deliverance,1972,6
443,cries and whispers,1972,7
444,last tango in paris,1972,8
445,fat city,1972,9
446,frenzy,1972,10
447,the last picture show,1971,2
448,a clockwork orange,1971,3
449,mccabe & mrs. miller,1971,4
