,budget,popularity,revenue,ceremony,vote_average,vote_count
budget,1.0,0.4073669801986758,0.7451496590909474,0.1947897784264247,0.08429309458556015,0.5970531234998585
popularity,0.4073669801986758,1.0,0.634100905231502,0.08870457823552876,0.213450888454198,0.6738930465669033
revenue,0.7451496590909474,0.634100905231502,1.0,0.13456683690560617,0.20161084929304537,0.8093106194469566
ceremony,0.1947897784264247,0.08870457823552876,0.13456683690560617,1.0,0.059823738872556015,0.11713292223226236
vote_average,0.08429309458556015,0.213450888454198,0.20161084929304537,0.059823738872556015,1.0,0.32430576615291073
vote_count,0.5970531234998585,0.6738930465669033,0.8093106194469566,0.11713292223226236,0.32430576615291073,1.0
