,year,ceremony,award,is_winner,winner,movieName,filmInfo
93,1930,3,Cinematography,,,The Love Parade ,(Victor Milner)
94,1930,3,Cinematography,1.0,1.0,With Byrd at the South Pole ,"Joseph T. Rucker, Willard Van Der Veer"
95,1930,3,Directing,,,Clarence Brown,Anna Christie; and Romance
96,1930,3,Directing,,,Robert Leonard,The Divorcee
97,1930,3,Directing,,,Ernst Lubitsch,The Love Parade
98,1930,3,Directing,1.0,1.0,Lewis Milestone,All Quiet on the Western Front
99,1930,3,Directing,,,King Vidor,Hallelujah
100,1930,3,Outstanding Production,1.0,1.0,All Quiet on the Western Front ,Universal
101,1930,3,Outstanding Production,,,The Big House ,Cosmopolitan
102,1930,3,Outstanding Production,,,Disraeli ,Warner Brothers
103,1930,3,Outstanding Production,,,The Divorcee ,Metro-Goldwyn-Mayer
104,1930,3,Outstanding Production,,,The Love Parade ,Paramount Famous Lasky
105,1930,3,Sound Recording,1.0,1.0,The Big House ,"Metro-Goldwyn-Mayer Studio Sound Department, Douglas Shearer, Sound Director"
106,1930,3,Sound Recording,,,The Case of Sergeant Grischa ,"(RKO Radio Studio Sound Department, John Tribby, Sound Director)"
107,1930,3,Sound Recording,,,The Love Parade ,"(Paramount Famous Lasky Studio Sound Department, Franklin Hansen, Sound Director)"
108,1930,3,Sound Recording,,,Raffles ,"(United Artists Studio Sound Department, Oscar Lagerstrom, Sound Director)"
109,1930,3,Sound Recording,,,Song of the Flame ,"(First National Studio Sound Department, George Groves, Sound Director)"
110,1930,3,Writing,,,All Quiet on the Western Front ,"(George Abbott), (Maxwell Anderson), (Del Andrews)"
111,1930,3,Writing,1.0,1.0,The Big House ,Frances Marion
112,1930,3,Writing,,,Disraeli ,(Julian Josephson)
113,1930,3,Writing,,,The Divorcee ,(John Meehan)
114,1930,3,Writing,,,Street of Chance ,(Howard Estabrook)
115,1931,4,Actor,1.0,1.0,Lionel Barrymore,A Free Soul
116,1931,4,Actor,,,Jackie Cooper,Skippy
