,TCONST,TITLE,YEAR,BECHDEL,SCORES,VOTES,BUDGETS,RELEASED_DAY,RELEASED_MON,RELEASED_YEAR,WINNER,COUNTRY
71,tt0025878,the thin man,1934,0,8.1,24299,226408,25,5.0,1934,0,35
72,tt0025746,the scarlet empress,1934,0,7.7,5224,900000,7,9.0,1934,0,35
73,tt0025318,it's a gift,1934,0,7.3,4551,666000.0,30,11.0,1934,0,35
74,tt0024844,l'atalante,1934,0,7.8,13047,1017920.0,21,6.0,1947,0,35
75,tt0024894,the black cat,1934,1,7.1,8269,95745,7,5.0,1934,0,35
76,tt0026029,the 39 steps,1935,0,7.8,47078,60000,1,8.0,1935,0,35
77,tt0026529,the informer,1935,0,7.5,5210,243000,24,5.0,1935,0,35
78,tt0026955,ruggles of red gap,1935,0,7.7,3397,290000.0,8,3.0,1935,0,35
79,tt0026266,david copperfield,1935,0,7.5,3455,1073000.0,20,6.0,1935,0,5
80,tt0026725,les misérables,1935,0,7.6,3084,1000000,20,4.0,1935,0,35
81,tt0026138,the bride of frankenstein,1935,0,7.9,39455,397024,6,5.0,1935,0,35
82,tt0027125,top hat,1935,1,7.8,15778,609000,6,9.0,1935,0,35
83,tt0026778,a night at the opera,1935,1,8.0,28747,1057000.0,15,11.0,1935,0,35
84,tt0025913,triumph of the will,1935,0,7.4,13861,158995.0,28,3.0,1935,0,1
85,tt0027652,fury,1936,1,7.9,10321,604000.0,5,6.0,1936,0,35
86,tt0028950,grand illusion,1936,0,8.1,31228,70000.0,12,9.0,1938,0,35
87,tt0028216,san francisco,1936,1,7.3,4559,1300000,26,6.0,1936,0,35
88,tt0028445,a day in the country,1936,0,7.7,5135,400000.0,12,12.0,1950,0,35
89,tt0027977,modern times,1936,1,8.5,193492,1500000,25,2.0,1936,0,35
90,tt0028010,my man godfrey,1936,1,8.1,18922,656000,6,9.0,1936,0,35
91,tt0028249,show boat,1936,1,7.5,2610,1100000.0,17,5.0,1936,0,35
92,tt0027996,mr. deeds goes to town,1936,1,8.0,18268,845710.0,12,4.0,1936,0,35
93,tt0027532,dodsworth,1936,0,8.0,7283,80000.0,23,9.0,1936,0,35
94,tt0028333,swing time,1936,1,7.6,11124,886000,12,10.0,1936,0,8
95,tt0028683,camille,1936,1,7.5,6746,1486000,12.0,12.0,1936.0,0,35
96,tt0029442,the prisoner of zenda,1937,0,7.7,3878,1250000,3,9.0,1937,0,35
97,tt0029604,stage door,1937,1,7.8,7073,952000,8,10.0,1937,0,35
98,tt0029162,lost horizon,1937,1,7.8,11214,4000000,1,9.0,1937,0,35
99,tt0029606,a star is born,1937,1,7.5,7772,1173639,27,4.0,1937,0,35
100,tt0028944,the good earth,1937,0,7.7,4166,2800000,6,8.0,1937,0,35
101,tt0028597,the awful truth,1937,0,7.8,16316,600000,21,10.0,1937,0,35
102,tt0029583,snow white and the seven dwarfs,1937,1,7.6,166069,2000000,4,2.0,1938,0,35
103,tt0029192,make way for tomorrow,1937,1,8.2,6480,550000.0,7,10.0,1937,0,2
104,tt0030127,the baker's wife,1938,0,7.5,1485,780000.0,26,2.0,1940,0,35
105,tt0030637,pygmalion,1938,0,7.8,7198,350000,3,3.0,1939,0,35
106,tt0029870,angels with dirty faces,1938,1,7.9,18452,900000.0,26,11.0,1938,0,35
107,tt0029947,bringing up baby,1938,1,7.9,51391,1073000,18,2.0,1938,0,35
108,tt0030341,the lady vanishes,1938,0,7.9,43006,80000.0,1,11.0,1938,0,35
109,tt0030522,olympia part one: festival of the nations,1938,0,7.9,3973,851760.0,8,3.0,1940,0,35
